1000824.00;"vitb12";0.00
1000824.00;"water";9.48
1000824.00;"na";12.00
1000824.00;"vitd";0.00
1000824.00;"sta";0.00
1000824.00;"mg";7.00
1000824.00;"p";18.00
1000824.00;"proa";12.00
1000824.00;"chol";0.00
1000824.00;"kcal";15.62
1000824.00;"fe";0.80
1000824.00;"fat";0.30
1000824.00;"vitb9";50.00
1000824.00;"k";243.00
1000824.00;"carb";3.80
1000824.00;"ca";20.00
1000832.00;"vitd";0.00
1000832.00;"p";126.00
1000832.00;"vitb5";0.50
1000832.00;"prot";6.00
1000832.00;"vita";0.00
1000832.00;"vitc";32.00
1000832.00;"vitb2";0.14
1000832.00;"water";7.45
1000832.00;"vitb12";0.00
1000832.00;"zn";0.75
1000832.00;"fibre";6.00
1000832.00;"vitb6";0.16
1000832.00;"sta";6.15
1000832.00;"ca";26.00
1000832.00;"na";2.00
1000832.00;"chol";0.00
1000832.00;"kcal";78.30
1000832.00;"fe";1.90
1000832.00;"fat";0.70
1000832.00;"vitb9";70.00
1000832.00;"k";300.00
1000832.00;"carb";18.00
1000832.00;"mg";34.00
1000832.00;"proa";380.00
1000835.00;"water";9.28
1000835.00;"vitb5";0.04
1000835.00;"prot";2.00
1000835.00;"vita";0.00
1000835.00;"vitc";38.00
1000835.00;"vitb2";0.09
1000835.00;"vitb6";0.27
1000835.00;"zn";0.50
1000835.00;"vitd";0.00
1000835.00;"fibre";1.70
1000835.00;"na";4.00
1000835.00;"vitb12";0.00
1000835.00;"fe";2.10
1000835.00;"p";53.00
1000835.00;"chol";0.00
1000835.00;"kcal";19.60
1000835.00;"ca";38.00
1000835.00;"fat";0.40
1000835.00;"vitb9";160.00
1000835.00;"k";459.00
1000835.00;"carb";3.70
1000835.00;"mg";13.00
1000835.00;"proa";4250.00
1000835.00;"sta";0.00
1000836.00;"vitb2";0.30
1000836.00;"vitb5";0.31
1000836.00;"prot";3.90
1000836.00;"vita";0.00
1000836.00;"vitc";182.00
1000836.00;"vitb6";0.20
1000836.00;"vitb12";0.00
1000836.00;"vitd";0.00
1000836.00;"fibre";4.30
1000836.00;"zn";0.80
1000836.00;"na";38.00
1000836.00;"water";8.21
1000836.00;"kcal";34.50
1000836.00;"p";114.00
1000836.00;"ca";213.00
1000836.00;"sta";2.60
1000836.00;"proa";5099.00
1000836.00;"fe";5.90
1000836.00;"fat";0.50
1000836.00;"vitb9";132.00
1000836.00;"k";853.00
1000836.00;"carb";11.10
1000836.00;"mg";37.00
1000836.00;"chol";0.00
1000837.00;"vitb2";0.11
1000837.00;"vitb5";0.30
1000837.00;"prot";3.00
1000837.00;"vita";0.00
1000837.00;"vitc";60.00
1000837.00;"vitb6";0.13
1000837.00;"vitb12";0.00
1000837.00;"vitd";0.00
1000837.00;"water";9.13
1000837.00;"fibre";2.30
1000837.00;"na";3.00
1000837.00;"zn";0.49
1000837.00;"ca";86.00
1000837.00;"p";54.00
1000837.00;"chol";0.00
1000837.00;"sta";0.00
1000837.00;"kcal";25.00
