18.00;"proa";74.00
18.00;"vitd";0.30
18.00;"vitc";0.00
18.00;"vitb1";0.02
18.00;"vitb2";0.38
18.00;"vitb3";6.21
18.00;"vitb5";1.72
18.00;"vitb6";0.16
18.00;"vitb12";1.22
18.00;"vitk";2.40
18.00;"vitb9";0.00
18.00;"chol";75.00
19.00;"prot";23.24
19.00;"fat";29.68
19.00;"carb";2.79
19.00;"kcal";371.00
19.00;"water";41.11
19.00;"caf";0.00
19.00;"fibre";0.00
19.00;"ca";674.00
19.00;"fe";0.43
19.00;"mg";24.00
19.00;"p";451.00
19.00;"k";136.00
19.00;"na";560.00
19.00;"zn";2.60
19.00;"cu";0.02
19.00;"se";14.50
19.00;"vita";286.00
19.00;"proa";76.00
19.00;"vitd";0.30
19.00;"vitc";0.00
19.00;"vitb1";0.01
19.00;"vitb2";0.35
19.00;"vitb3";5.51
19.00;"vitb5";0.28
19.00;"vitb6";0.06
19.00;"vitb12";1.26
19.00;"vitk";2.50
19.00;"vitb9";0.00
19.00;"chol";94.00
20.00;"prot";20.75
20.00;"fat";27.68
20.00;"carb";0.45
20.00;"kcal";334.00
20.00;"water";48.42
20.00;"caf";0.00
20.00;"fibre";0.00
20.00;"ca";184.00
20.00;"fe";0.50
20.00;"mg";20.00
20.00;"p";188.00
20.00;"k";152.00
20.00;"na";629.00
20.00;"zn";2.38
20.00;"cu";0.01
20.00;"se";14.50
20.00;"vita";173.00
20.00;"proa";9.00
20.00;"vitd";0.30
20.00;"vitc";0.00
20.00;"vitb1";0.07
20.00;"vitb2";0.52
20.00;"vitb3";5.74
20.00;"vitb5";0.69
20.00;"vitb6";0.23
20.00;"vitb12";1.65
20.00;"vitk";2.30
20.00;"vitb9";0.00
20.00;"chol";100.00
21.00;"prot";19.80
21.00;"fat";24.26
21.00;"carb";0.46
21.00;"kcal";300.00
21.00;"water";51.80
21.00;"caf";0.00
21.00;"fibre";0.00
21.00;"ca";388.00
21.00;"fe";0.33
21.00;"mg";20.00
21.00;"p";347.00
21.00;"k";187.00
21.00;"na";842.00
21.00;"zn";2.38
21.00;"cu";0.02
21.00;"se";14.50
21.00;"vita";240.00
21.00;"proa";12.00
21.00;"vitd";0.30
21.00;"vitc";0.00
21.00;"vitb1";0.02
21.00;"vitb2";0.48
21.00;"vitb3";5.74
21.00;"vitb5";1.36
21.00;"vitb6";0.22
21.00;"vitb12";1.30
21.00;"vitk";2.00
21.00;"vitb9";0.00
21.00;"chol";72.00
22.00;"prot";25.18
22.00;"fat";29.20
22.00;"carb";3.06
22.00;"kcal";376.00
22.00;"water";39.28
22.00;"caf";0.00
22.00;"fibre";0.00
22.00;"ca";673.00
22.00;"fe";0.64
22.00;"mg";22.00
22.00;"p";490.00
22.00;"k";93.00
22.00;"na";690.00
22.00;"zn";2.94
22.00;"cu";0.02
22.00;"se";14.50
22.00;"vita";262.00
22.00;"proa";108.00
22.00;"vitd";0.30
22.00;"vitc";0.00
22.00;"vitb1";0.03
22.00;"vitb2";0.45
22.00;"vitb3";5.58
22.00;"vitb5";0.19
22.00;"vitb6";0.07
22.00;"vitb12";0.27
22.00;"vitb9";0.00
22.00;"chol";93.00
23.00;"prot";23.37
23.00;"fat";30.60
23.00;"carb";4.78
23.00;"kcal";387.00
23.00;"water";37.65
23.00;"caf";0.00
23.00;"fibre";0.00
23.00;"ca";643.00
23.00;"fe";0.21
23.00;"mg";21.00
23.00;"p";464.00
23.00;"k";95.00
23.00;"na";700.00
23.00;"zn";2.79
23.00;"cu";0.04
23.00;"se";14.50
